label,original_label,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_width,bbox_height,bbox_depth,min_intensity,max_intensity,sum_intensity,area,mean_intensity,sum_intensity_times_x,mass_center_x,sum_intensity_times_y,mass_center_y,sum_intensity_times_z,mass_center_z,sum_x,centroid_x,sum_y,centroid_y,sum_z,centroid_z,sum_distance_to_centroid,mean_distance_to_centroid,sum_distance_to_mass_center,mean_distance_to_mass_center,standard_deviation_intensity,max_distance_to_centroid,max_distance_to_mass_center,mean_max_distance_to_centroid_ratio,mean_max_distance_to_mass_center_ratio,annotated_class,key
4,4,720,958,0,747,990,0,28,33,1,10462,19271,331536,21,15787.429,242819600,732.40796,322775230,973.5752,0,0,15368,731.8095,20430,972.8572,0,0,253.59782,12.076087,257.79135,12.275779,2503.5874,22.904745,21.970476,1.8967025,1.789742,2,64
5,5,726,977,0,742,991,0,17,15,1,17697,31565,365904,15,24393.598,268125740,732.7762,359803840,983.3285,0,0,11003,733.53326,14760,983.99994,0,0,85.63077,5.7087173,85.82591,5.7217274,3870.5,10.98574,11.997118,1.9243797,2.096765,2,80
6,6,1176,1225,0,1275,1287,0,100,63,1,5036,22039,40415710,4618,8751.778,49479274000,1224.2584,50805133000,1257.064,0,0,5656723,1224.9292,5805148,1257.0698,0,0,126962.24,27.492907,126994.17,27.49982,2096.4832,52.381935,51.810787,1.905289,1.884041,2,96
1,1,812,646,0,817,668,0,6,23,1,14080,16296,283365,19,14913.947,230761300,814.36066,186006030,656.4185,0,0,15474,814.4211,12467,656.1579,0,0,114.560074,6.0294776,114.672134,6.0353756,610.1626,12.08706,11.81962,2.0046613,1.9583901,2,17
2,2,869,658,0,900,669,0,32,12,1,19577,45140,647798,21,30847.523,571244860,881.8256,430038820,663.8471,0,0,18528,882.2857,13938,663.7143,0,0,219.24245,10.440117,218.71422,10.414963,5487.1294,18.613152,19.091797,1.782849,1.8331124,2,34
3,3,870,659,0,900,679,0,31,21,1,18449,42502,1702012,71,23972,1505223400,884.3789,1135710700,667.2754,0,0,62783,884.2676,47420,667.8873,0,0,1023.6638,14.4178,1023.852,14.42045,5434.844,18.08467,18.553152,1.2543293,1.2865862,2,51
4,4,894,773,0,928,802,0,35,30,1,13197,36313,16088472,803,20035.457,14636356000,909.74176,12653884000,786.5187,0,0,731182,910.56287,631891,786.9128,0,0,8748.636,10.894938,8769.508,10.920931,4160.421,21.00163,20.11269,1.9276502,1.8416644,2,68
5,5,862,774,0,895,802,0,34,29,1,10794,33474,14835964,750,19781.285,13064574000,880.6016,11689233000,787.89844,0,0,659794,879.72534,591336,788.448,0,0,7954.093,10.605457,7978.005,10.63734,3932.6594,19.620428,19.576757,1.8500313,1.840381,2,85
6,6,0,809,0,42,831,0,43,23,1,7357,19047,7985985,667,11972.991,182106480,22.803259,6551954400,820.43164,0,0,15298,22.935534,546761,819.7316,0,0,7058.1304,10.581904,7074.6978,10.606744,2112.1414,23.32933,23.080767,2.204644,2.1760464,2,102
7,7,0,825,0,20,858,0,21,34,1,11140,20619,6289546,432,14559.135,43015230,6.8391633,5278650000,839.27356,0,0,3110,7.1990743,362441,838.9838,0,0,3719.838,8.610736,3729.5322,8.633177,1804.0057,20.333261,19.936241,2.3613849,2.309259,2,119
