label,area,centroid-0,centroid-1,eccentricity,mean_intensity,max_intensity,min_intensity,annotated_class,key
[1 2 3],[31 20 32],[ 94.4516129  99.35      110.09375  ],[ 90.19354839 118.          81.0625    ],[0.60011869 0.12998877 0.70334223],[191.     179.9    177.6875],[217. 193. 199.],[169. 162. 148.],2,[2 4 6]
[1],[614],[99.6514658],[100.04071661],[0.84280344],[166.03257329],[251.],[93.],2,[2]
[1 2 3 4],[32 25 52 25],[ 70.          77.88        94.96153846 118.96      ],[110.90625    138.84        81.76923077  79.76      ],[0.51712173 0.58495174 0.66087573 0.64419115],[130.15625    145.68       129.73076923 154.6       ],[157. 182. 147. 183.],[107. 116. 117. 129.],2,[2 4 6 8]
[1],[1427],[100.93062369],[101.18430273],[0.77901534],[157.86685354],[255.],[0.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1 2 3 4 5 6],[26 19 34 24 23 34],"[ 74.84615385  86.47368421  94.38235294 104.29166667 107.91304348
 114.76470588]","[137.46153846 125.63157895  98.97058824  73.         114.56521739
  90.88235294]",[0.63653155 0.6812973  0.49035478 0.37699822 0.66158165 0.60819115],"[194.53846154 182.73684211 184.64705882 164.125      169.95652174
 193.38235294]",[227. 196. 214. 182. 187. 224.],[162. 169. 158. 148. 154. 170.],2,[ 2  4  6  8 10 12]
[],[],[],[],[],[],[],[],2,[]
[1 2],[288 286],[97.89236111 98.94055944],[ 87.90625    109.75524476],[0.63183698 0.82659497],[134.24305556 146.63636364],[223. 255.],[89. 92.],2,[2 4]
[1],[624],[101.34455128],[99.375],[0.63612353],[172.92307692],[255.],[109.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1 2 3 4],[34 17 28 37],[ 78.5         81.88235294  96.39285714 113.21621622],[ 98.70588235  78.41176471 115.85714286 114.45945946],[0.46785969 0.62594323 0.46821381 0.58936684],[175.88235294 171.94117647 185.85714286 199.02702703],[206. 203. 217. 250.],[148. 147. 162. 157.],2,[2 4 6 8]
[1],[959],[101.0552659],[100.66527633],[0.76586772],[160.10010428],[254.],[94.],2,[2]
[1],[15],[114.6],[95.4],[0.48989795],[133.13333333],[149.],[118.],2,[2]
[1],[2257],[104.01284891],[94.20779796],[0.64891528],[181.03544528],[255.],[114.],2,[2]
[1],[1343],[100.34847357],[100.58749069],[0.6917284],[171.84288905],[249.],[77.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1 2],[94 27],[108.72340426 111.74074074],[106.96808511 119.33333333],[0.58962283 0.48380513],[174.22340426 152.77777778],[255. 177.],[125. 128.],2,[2 4]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[574],[102.89198606],[102.61672474],[0.92418718],[164.34494774],[248.],[84.],2,[2]
[1],[2055],[102.73090024],[102.10656934],[0.69163482],[170.00145985],[255.],[97.],2,[2]
[1 2 3 4],[54 39 28 27],[ 77.14814815  98.69230769 103.28571429 109.81481481],[ 97.27777778  82.35897436 117.5        106.40740741],[0.69756704 0.8867004  0.87069601 0.29773482],[161.75925926 157.         165.71428571 155.7037037 ],[215. 227. 252. 187.],[121. 116. 116. 139.],2,[2 4 6 8]
[1],[1155],[101.75584416],[98.66060606],[0.96779086],[178.59480519],[251.],[122.],2,[2]
[1],[490],[100.30612245],[101.18979592],[0.59782418],[152.03469388],[255.],[90.],2,[2]
[1 2 3 4],[147  93 127  33],[ 86.85714286 102.5483871  111.48031496 125.75757576],[113.18367347 116.48387097 104.22834646 109.48484848],[0.88836131 0.49352907 0.30772524 0.8086953 ],[143.95918367 168.35483871 149.16535433 145.90909091],[226. 255. 251. 189.],[104. 129. 115. 116.],2,[2 4 6 8]
[1],[1231],[99.60032494],[100.28025995],[0.80008002],[146.31031682],[254.],[70.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[775],[100.86967742],[100.17935484],[0.7463106],[155.7483871],[253.],[79.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1 2],[23 88],[101.2173913  109.42045455],[ 81.08695652 129.71590909],[0.47763077 0.9377281 ],[162.30434783 174.61363636],[183. 219.],[141. 128.],2,[2 4]
[1],[39],[99.25641026],[111.69230769],[0.89199596],[142.35897436],[165.],[104.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1 2],[ 80 190],[101.0625     106.38421053],[ 91.125      102.25789474],[0.72782069 0.76274842],[150.9125     139.17894737],[229. 186.],[115. 104.],2,[2 4]
[1],[1364],[99.45894428],[100.95014663],[0.80181109],[162.26539589],[255.],[86.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[1319],[99.19181198],[99.77937832],[0.49305105],[171.97043215],[255.],[7.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[662],[99.42598187],[100.51057402],[0.86968886],[196.06042296],[255.],[123.],2,[2]
[1],[1029],[98.07482993],[97.7133139],[0.81354822],[171.63848397],[255.],[0.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[701],[99.90014265],[99.93009986],[0.66334406],[173.69044223],[255.],[107.],2,[2]
[1],[579],[101.13126079],[99.12607945],[0.8724618],[159.74784111],[255.],[98.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[2428],[97.54736409],[103.18369028],[0.8586745],[148.61573311],[255.],[72.],2,[2]
[1],[1567],[101.62986599],[100.33567326],[0.65464893],[142.99106573],[255.],[60.],2,[2]
[1],[877],[98.32383124],[100.82098062],[0.94785882],[174.97833523],[255.],[112.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[809],[100.22249691],[100.13473424],[0.58597226],[150.01359703],[252.],[82.],2,[2]
[1],[981],[101.1814475],[99.98369011],[0.89050071],[186.3088685],[255.],[93.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[552],[109.37318841],[100.81884058],[0.8078928],[151.92572464],[255.],[82.],2,[2]
[1 2 3],[22 31 30],[ 89.68181818 111.41935484 114.53333333],[85.90909091 90.93548387 82.66666667],[0.59619204 0.45002135 0.62032045],[169.22727273 149.96774194 147.46666667],[185. 177. 163.],[153. 125. 135.],2,[2 4 6]
[],[],[],[],[],[],[],[],2,[]
[1],[1112],[98.91636691],[100.66636691],[0.8124263],[157.38399281],[252.],[83.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[17],[81.58823529],[89.88235294],[0.62594323],[139.11764706],[155.],[124.],2,[2]
[1],[15],[99.13333333],[116.46666667],[0.47609523],[119.4],[140.],[106.],2,[2]
[1],[742],[98.29380054],[94.48382749],[0.89577755],[161.60107817],[255.],[100.],2,[2]
[1],[1214],[101.11037891],[99.72240527],[0.37556688],[168.44975288],[253.],[15.],2,[2]
[1],[560],[99.19107143],[99.66964286],[0.77962417],[151.04464286],[255.],[69.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[604],[98.35596026],[101.73344371],[0.78675116],[222.80794702],[253.],[145.],2,[2]
[1],[1320],[97.98636364],[101.34090909],[0.89203154],[151.07045455],[255.],[0.],2,[2]
[1],[826],[102.44188862],[101.9842615],[0.68572318],[140.70581114],[254.],[78.],2,[2]
